Unit,Bucks,Does,Fawns,Antlerless,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags
8,23,11,0,11,34,96,36,325,All manners of take,  767,  586,76%,40.85336261328245,-105.72469602241878,"  490,711","  375,305",8 All manners of take,125.2,163.7,https://webmap.onxmaps.com/hunt/map#9.45/40.8533626132824/-105.724696022419,"AE000U1A,AF006O1M,AF007O1M,AF008O1R,AF008P1R,AM007O1M,AM008O1R,AM008P1R"
8,17,9,0,9,26,37,71,97,All Rifle Seasons,  767,  586,76%,40.85336261328245,-105.72469602241878,"  490,711","  375,305",8 All Rifle Seasons,48.3,63.1,https://webmap.onxmaps.com/hunt/map#9.45/40.8533626132824/-105.724696022419,"AE000U1A,AF006O1M,AF007O1M,AF008O1R,AF008P1R,AM007O1M,AM008O1R,AM008P1R"
8,17,9,0,9,26,37,71,97,All Regular Rifle Seasons,  767,  586,76%,40.85336261328245,-105.72469602241878,"  490,711","  375,305",8 All Regular Rifle Seasons,48.3,63.1,https://webmap.onxmaps.com/hunt/map#9.45/40.8533626132824/-105.724696022419,"AE000U1A,AF006O1M,AF007O1M,AF008O1R,AF008P1R,AM007O1M,AM008O1R,AM008P1R"
8,4,2,0,2,5,51,11,218,All Archery Seasons,  767,  586,76%,40.85336261328245,-105.72469602241878,"  490,711","  375,305",8 All Archery Seasons,66.5,87,https://webmap.onxmaps.com/hunt/map#9.45/40.8533626132824/-105.724696022419,"AE000U1A,AF006O1M,AF007O1M,AF008O1R,AF008P1R,AM007O1M,AM008O1R,AM008P1R"
8,3,0,0,0,3,8,34,10,All Muzzleloader Seasons,  767,  586,76%,40.85336261328245,-105.72469602241878,"  490,711","  375,305",8 All Muzzleloader Seasons,10.4,13.6,https://webmap.onxmaps.com/hunt/map#9.45/40.8533626132824/-105.724696022419,"AE000U1A,AF006O1M,AF007O1M,AF008O1R,AF008P1R,AM007O1M,AM008O1R,AM008P1R"
8,7,4,0,4,11,22,52,64,All Private Land Only Seasons,  767,  586,76%,40.85336261328245,-105.72469602241878,"  490,711","  375,305",8 All Private Land Only Seasons,28.7,37.5,https://webmap.onxmaps.com/hunt/map#9.45/40.8533626132824/-105.724696022419,"AE000U1A,AF006O1M,AF007O1M,AF008O1R,AF008P1R,AM007O1M,AM008O1R,AM008P1R"
9,77,68,0,68,145,212,68,683,All manners of take,  676,    3,0%,40.843697728765896,-105.11358860737788,"  432,825","    2,056",9 All manners of take,313.5,65982,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378,"AE000U1A,AF009L1R,AF009O1M,AF009P1R,AM009O1M,AM009P1R"
9,69,66,0,66,135,194,70,554,All Rifle Seasons,  676,    3,0%,40.843697728765896,-105.11358860737788,"  432,825","    2,056",9 All Rifle Seasons,286.9,60379.7,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378,"AE000U1A,AF009L1R,AF009O1M,AF009P1R,AM009O1M,AM009P1R"
9,67,20,0,20,88,129,68,312,All Regular Rifle Seasons,  676,    3,0%,40.843697728765896,-105.11358860737788,"  432,825","    2,056",9 All Regular Rifle Seasons,190.7,40149.4,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378,"AE000U1A,AF009L1R,AF009O1M,AF009P1R,AM009O1M,AM009P1R"
9,0,33,0,33,33,46,73,213,All Late Rifle Seasons,  676,    3,0%,40.843697728765896,-105.11358860737788,"  432,825","    2,056",9 All Late Rifle Seasons,68,14316.8,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378,"AE000U1A,AF009L1R,AF009O1M,AF009P1R,AM009O1M,AM009P1R"
9,2,2,0,2,4,12,38,102,All Archery Seasons,  676,    3,0%,40.843697728765896,-105.11358860737788,"  432,825","    2,056",9 All Archery Seasons,17.7,3734.8,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378,"AE000U1A,AF009L1R,AF009O1M,AF009P1R,AM009O1M,AM009P1R"
9,5,0,0,0,5,7,75,27,All Muzzleloader Seasons,  676,    3,0%,40.843697728765896,-105.11358860737788,"  432,825","    2,056",9 All Muzzleloader Seasons,10.4,2178.7,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378,"AE000U1A,AF009L1R,AF009O1M,AF009P1R,AM009O1M,AM009P1R"
9,67,20,0,20,88,121,72,304,All Private Land Only Seasons,  676,    3,0%,40.843697728765896,-105.11358860737788,"  432,825","    2,056",9 All Private Land Only Seasons,178.9,37659.5,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378,"AE000U1A,AF009L1R,AF009O1M,AF009P1R,AM009O1M,AM009P1R"
9,2,12,0,12,14,19,74,30,"All Damage, Auction/Raffle & Misc. Hunts",  676,    3,0%,40.843697728765896,-105.11358860737788,"  432,825","    2,056","9 All Damage, Auction/Raffle & Misc. Hunts",28.1,5913.5,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378,"AE000U1A,AF009L1R,AF009O1M,AF009P1R,AM009O1M,AM009P1R"
10,10,0,0,0,10,10,100,18,All manners of take,"1,430",  888,62%,40.30322739112264,-108.77259687033796,"  915,335","  568,381",10 All manners of take,7,11.3,https://webmap.onxmaps.com/hunt/map#9.45/40.3032273911226/-108.772596870338,"AM010O1R,AM010P5R"
10,10,0,0,0,10,10,100,18,All Rifle Seasons,"1,430",  888,62%,40.30322739112264,-108.77259687033796,"  915,335","  568,381",10 All Rifle Seasons,7,11.3,https://webmap.onxmaps.com/hunt/map#9.45/40.3032273911226/-108.772596870338,"AM010O1R,AM010P5R"
10,10,0,0,0,10,10,100,18,All Regular Rifle Seasons,"1,430",  888,62%,40.30322739112264,-108.77259687033796,"  915,335","  568,381",10 All Regular Rifle Seasons,7,11.3,https://webmap.onxmaps.com/hunt/map#9.45/40.3032273911226/-108.772596870338,"AM010O1R,AM010P5R"
10,5,0,0,0,5,5,100,13,All Private Land Only Seasons,"1,430",  888,62%,40.30322739112264,-108.77259687033796,"  915,335","  568,381",10 All Private Land Only Seasons,3.5,5.6,https://webmap.onxmaps.com/hunt/map#9.45/40.3032273911226/-108.772596870338,"AM010O1R,AM010P5R"
